GeoFIPS;GeoName;Description;2019;2020
" ""46000""";South Dakota; Subsidies (millions of dollars);-1422.5;(NA)
" ""47000""";Tennessee;Real GDP (millions of chained 2012 dollars)  ;328406.3;312436.7
" ""47000""";Tennessee;Chain-type quantity indexes for real GDP;115.847;110.214
" ""47000""";Tennessee;Current-dollar GDP (millions of current dollars);376582.4;364485.9
" ""47000""";Tennessee;Compensation (millions of dollars);199086;(NA)
" ""47000""";Tennessee;Gross operating surplus (millions of dollars);150884.5;(NA)
" ""47000""";Tennessee;Taxes on production and imports (TOPI) less subsides (millions of dollars);26611.9;(NA)
" ""47000""";Tennessee; Taxes on production and imports (TOPI) (millions of dollars);27551.5;(NA)
" ""47000""";Tennessee; Subsidies (millions of dollars);-939.6;(NA)
" ""48000""";Texas;Real GDP (millions of chained 2012 dollars)  ;1764357.2;1703074.3
" ""48000""";Texas;Chain-type quantity indexes for real GDP;125.092;120.747
" ""48000""";Texas;Current-dollar GDP (millions of current dollars);1843802.7;1759734.4
" ""48000""";Texas;Compensation (millions of dollars);951719.7;(NA)
" ""48000""";Texas;Gross operating surplus (millions of dollars);762538.1;(NA)
" ""48000""";Texas;Taxes on production and imports (TOPI) less subsides (millions of dollars);129544.9;(NA)
" ""48000""";Texas; Taxes on production and imports (TOPI) (millions of dollars);134018.2;(NA)
" ""48000""";Texas; Subsidies (millions of dollars);-4473.3;(NA)
" ""49000""";Utah;Real GDP (millions of chained 2012 dollars)  ;168792.7;168621.5
" ""49000""";Utah;Chain-type quantity indexes for real GDP;131.087;130.954
" ""49000""";Utah;Current-dollar GDP (millions of current dollars);192519.2;194985.8
" ""49000""";Utah;Compensation (millions of dollars);103198.2;(NA)
" ""49000""";Utah;Gross operating surplus (millions of dollars);78826.4;(NA)
" ""49000""";Utah;Taxes on production and imports (TOPI) less subsides (millions of dollars);10494.6;(NA)
" ""49000""";Utah; Taxes on production and imports (TOPI) (millions of dollars);10921.7;(NA)
" ""49000""";Utah; Subsidies (millions of dollars);-427;(NA)
" ""50000""";Vermont;Real GDP (millions of chained 2012 dollars)  ;29806.2;28196.4
" ""50000""";Vermont;Chain-type quantity indexes for real GDP;103.158;97.587
" ""50000""";Vermont;Current-dollar GDP (millions of current dollars);34013.4;32796.7
" ""50000""";Vermont;Compensation (millions of dollars);19867.1;(NA)
" ""50000""";Vermont;Gross operating surplus (millions of dollars);10729.1;(NA)
" ""50000""";Vermont;Taxes on production and imports (TOPI) less subsides (millions of dollars);3417.2;(NA)
" ""50000""";Vermont; Taxes on production and imports (TOPI) (millions of dollars);3511.7;(NA)
" ""50000""";Vermont; Subsidies (millions of dollars);-94.4;(NA)
" ""51000""";Virginia;Real GDP (millions of chained 2012 dollars)  ;489168.4;476949.7
" ""51000""";Virginia;Chain-type quantity indexes for real GDP;109.896;107.151
" ""51000""";Virginia;Current-dollar GDP (millions of current dollars);556905.2;551760.3
" ""51000""";Virginia;Compensation (millions of dollars);321082.9;(NA)
" ""51000""";Virginia;Gross operating surplus (millions of dollars);201264.2;(NA)
" ""51000""";Virginia;Taxes on production and imports (TOPI) less subsides (millions of dollars);34558.2;(NA)
" ""51000""";Virginia; Taxes on production and imports (TOPI) (millions of dollars);35795.6;(NA)
" ""51000""";Virginia; Subsidies (millions of dollars);-1237.4;(NA)
" ""53000""";Washington;Real GDP (millions of chained 2012 dollars)  ;548686.7;544632.4
" ""53000""";Washington;Chain-type quantity indexes for real GDP;136.958;135.946
" ""53000""";Washington;Current-dollar GDP (millions of current dollars);612996.5;618704.9
" ""53000""";Washington;Compensation (millions of dollars);314985.9;(NA)
" ""53000""";Washington;Gross operating surplus (millions of dollars);252355;(NA)
" ""53000""";Washington;Taxes on production and imports (TOPI) less subsides (millions of dollars);45655.7;(NA)
" ""53000""";Washington; Taxes on production and imports (TOPI) (millions of dollars);47400.5;(NA)
" ""53000""";Washington; Subsidies (millions of dollars);-1744.8;(NA)
" ""54000""";West Virginia;Real GDP (millions of chained 2012 dollars)  ;72340.4;68352.9
" ""54000""";West Virginia;Chain-type quantity indexes for real GDP;104.334;98.583
" ""54000""";West Virginia;Current-dollar GDP (millions of current dollars);78863.9;73709.2
" ""54000""";West Virginia;Compensation (millions of dollars);42273.5;(NA)
" ""54000""";West Virginia;Gross operating surplus (millions of dollars);30193.4;(NA)
" ""54000""";West Virginia;Taxes on production and imports (TOPI) less subsides (millions of dollars);6396.9;(NA)
" ""54000""";West Virginia; Taxes on production and imports (TOPI) (millions of dollars);6517.3;(NA)
" ""54000""";West Virginia; Subsidies (millions of dollars);-120.4;(NA)
" ""55000""";Wisconsin;Real GDP (millions of chained 2012 dollars)  ;308044.7;294185.4
" ""55000""";Wisconsin;Chain-type quantity indexes for real GDP;112.204;107.156
" ""55000""";Wisconsin;Current-dollar GDP (millions of current dollars);349416.5;338678.4
" ""55000""";Wisconsin;Compensation (millions of dollars);196509.2;(NA)
" ""55000""";Wisconsin;Gross operating surplus (millions of dollars);129815.4;(NA)
" ""55000""";Wisconsin;Taxes on production and imports (TOPI) less subsides (millions of dollars);23091.9;(NA)
" ""55000""";Wisconsin; Taxes on production and imports (TOPI) (millions of dollars);24232.4;(NA)
" ""55000""";Wisconsin; Subsidies (millions of dollars);-1140.5;(NA)
" ""56000""";Wyoming;Real GDP (millions of chained 2012 dollars)  ;39214;36474.6
" ""56000""";Wyoming;Chain-type quantity indexes for real GDP;102.019;94.893
" ""56000""";Wyoming;Current-dollar GDP (millions of current dollars);40420.1;36241.5
" ""56000""";Wyoming;Compensation (millions of dollars);19296.3;(NA)
" ""56000""";Wyoming;Gross operating surplus (millions of dollars);17410.8;(NA)
" ""56000""";Wyoming;Taxes on production and imports (TOPI) less subsides (millions of dollars);3713;(NA)
" ""56000""";Wyoming; Taxes on production and imports (TOPI) (millions of dollars);3806.1;(NA)
" ""56000""";Wyoming; Subsidies (millions of dollars);-93.1;(NA)
" ""91000""";New England;Real GDP (millions of chained 2012 dollars)  ;990777.5;950674
" ""91000""";New England;Chain-type quantity indexes for real GDP;111.374;106.866
" ""91000""";New England;Current-dollar GDP (millions of current dollars);1135663.7;1109265.9
" ""91000""";New England;Compensation (millions of dollars);633630.4;(NA)
" ""91000""";New England;Gross operating surplus (millions of dollars);431221.3;(NA)
" ""91000""";New England;Taxes on production and imports (TOPI) less subsides (millions of dollars);70812;(NA)
" ""91000""";New England; Taxes on production and imports (TOPI) (millions of dollars);73823.1;(NA)
" ""91000""";New England; Subsidies (millions of dollars);-3011.1;(NA)
" ""92000""";Mideast;Real GDP (millions of chained 2012 dollars)  ;3336480.6;3178652.8
" ""92000""";Mideast;Chain-type quantity indexes for real GDP;111.489;106.215
" ""92000""";Mideast;Current-dollar GDP (millions of current dollars);3863001;3740053.4
" ""92000""";Mideast;Compensation (millions of dollars);2065364.5;(NA)
" ""92000""";Mideast;Gross operating surplus (millions of dollars);1530876;(NA)
" ""92000""";Mideast;Taxes on production and imports (TOPI) less subsides (millions of dollars);266760.5;(NA)
" ""92000""";Mideast; Taxes on production and imports (TOPI) (millions of dollars);279948.4;(NA)
" ""92000""";Mideast; Subsidies (millions of dollars);-13187.9;(NA)
" ""93000""";Great Lakes;Real GDP (millions of chained 2012 dollars)  ;2505871.8;2401025.4
" ""93000""";Great Lakes;Chain-type quantity indexes for real GDP;111.231;106.577
" ""93000""";Great Lakes;Current-dollar GDP (millions of current dollars);2846933.4;2765797.3
" ""93000""";Great Lakes;Compensation (millions of dollars);1559757.4;(NA)
" ""93000""";Great Lakes;Gross operating surplus (millions of dollars);1097364.2;(NA)
" ""93000""";Great Lakes;Taxes on production and imports (TOPI) less subsides (millions of dollars);189811.8;(NA)
" ""93000""";Great Lakes; Taxes on production and imports (TOPI) (millions of dollars);199883.5;(NA)
" ""93000""";Great Lakes; Subsidies (millions of dollars);-10071.6;(NA)
" ""94000""";Plains;Real GDP (millions of chained 2012 dollars)  ;1181310.4;1144542.3
" ""94000""";Plains;Chain-type quantity indexes for real GDP;111.285;107.821
" ""94000""";Plains;Current-dollar GDP (millions of current dollars);1325462.4;1299762.8
" ""94000""";Plains;Compensation (millions of dollars);721527.4;(NA)
" ""94000""";Plains;Gross operating surplus (millions of dollars);525986.6;(NA)
" ""94000""";Plains;Taxes on production and imports (TOPI) less subsides (millions of dollars);77948.4;(NA)
" ""94000""";Plains; Taxes on production and imports (TOPI) (millions of dollars);91377.1;(NA)
" ""94000""";Plains; Subsidies (millions of dollars);-13428.7;(NA)
" ""95000""";Southeast;Real GDP (millions of chained 2012 dollars)  ;3981051.8;3854787
" ""95000""";Southeast;Chain-type quantity indexes for real GDP;116.107;112.424
" ""95000""";Southeast;Current-dollar GDP (millions of current dollars);4531095.2;4453068.4
" ""95000""";Southeast;Compensation (millions of dollars);2462305.7;(NA)
" ""95000""";Southeast;Gross operating surplus (millions of dollars);1753145.3;(NA)
" ""95000""";Southeast;Taxes on production and imports (TOPI) less subsides (millions of dollars);315644.2;(NA)
" ""95000""";Southeast; Taxes on production and imports (TOPI) (millions of dollars);328429.8;(NA)
" ""95000""";Southeast; Subsidies (millions of dollars);-12785.6;(NA)
" ""96000""";Southwest;Real GDP (millions of chained 2012 dollars)  ;2386060.9;2307729.8
" ""96000""";Southwest;Chain-type quantity indexes for real GDP;123.031;118.992
" ""96000""";Southwest;Current-dollar GDP (millions of current dollars);2521101.2;2419086.8
" ""96000""";Southwest;Compensation (millions of dollars);1314292.2;(NA)
" ""96000""";Southwest;Gross operating surplus (millions of dollars);1032942.6;(NA)
" ""96000""";Southwest;Taxes on production and imports (TOPI) less subsides (millions of dollars);173866.4;(NA)
" ""96000""";Southwest; Taxes on production and imports (TOPI) (millions of dollars);180285.2;(NA)
" ""96000""";Southwest; Subsidies (millions of dollars);-6418.8;(NA)
" ""97000""";Rocky Mountain;Real GDP (millions of chained 2012 dollars)  ;687941.6;677826.4
" ""97000""";Rocky Mountain;Chain-type quantity indexes for real GDP;127.251;125.38
" ""97000""";Rocky Mountain;Current-dollar GDP (millions of current dollars);762525.5;756847
" ""97000""";Rocky Mountain;Compensation (millions of dollars);414047.9;(NA)
" ""97000""";Rocky Mountain;Gross operating surplus (millions of dollars);303235.4;(NA)
" ""97000""";Rocky Mountain;Taxes on production and imports (TOPI) less subsides (millions of dollars);45242.2;(NA)
" ""97000""";Rocky Mountain; Taxes on production and imports (TOPI) (millions of dollars);47817.8;(NA)
" ""97000""";Rocky Mountain; Subsidies (millions of dollars);-2575.6;(NA)
" ""98000""";Far West;Real GDP (millions of chained 2012 dollars)  ;3864650.3;3760102.5
" ""98000""";Far West;Chain-type quantity indexes for real GDP;129.759;126.249
" ""98000""";Far West;Current-dollar GDP (millions of current dollars);4327749.6;4273735.3
" ""98000""";Far West;Compensation (millions of dollars);2245429.5;(NA)
" ""98000""";Far West;Gross operating surplus (millions of dollars);1804864.7;(NA)
" ""98000""";Far West;Taxes on production and imports (TOPI) less subsides (millions of dollars);277455.4;(NA)
" ""98000""";Far West; Taxes on production and imports (TOPI) (millions of dollars);289865.1;(NA)
" ""98000""";Far West; Subsidies (millions of dollars);-12409.7;(NA)
Note: See the included footnote file.;;;;
SAGDP1: Gross Domestic Product (GDP) summary; annual by state ;;;
Last updated: March 26; 2021-- new statistics for 2020.;;;
Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts;;;;
