GeoFIPS;GeoName;Description;2019;2020
" ""11000""";District of Columbia; Subsidies (millions of dollars);-897;(NA)
" ""12000""";Florida;Real GDP (millions of chained 2012 dollars)  ;963255.9;935674.3
" ""12000""";Florida;Chain-type quantity indexes for real GDP;125.306;121.718
" ""12000""";Florida;Current-dollar GDP (millions of current dollars);1106500.1;1095888.2
" ""12000""";Florida;Compensation (millions of dollars);603712.2;(NA)
" ""12000""";Florida;Gross operating surplus (millions of dollars);411739.3;(NA)
" ""12000""";Florida;Taxes on production and imports (TOPI) less subsides (millions of dollars);91048.6;(NA)
" ""12000""";Florida; Taxes on production and imports (TOPI) (millions of dollars);93604.5;(NA)
" ""12000""";Florida; Subsidies (millions of dollars);-2555.9;(NA)
" ""13000""";Georgia;Real GDP (millions of chained 2012 dollars)  ;547422.7;533566.8
" ""13000""";Georgia;Chain-type quantity indexes for real GDP;123.414;120.29
" ""13000""";Georgia;Current-dollar GDP (millions of current dollars);625713.6;619240
" ""13000""";Georgia;Compensation (millions of dollars);330034;(NA)
" ""13000""";Georgia;Gross operating surplus (millions of dollars);259737.5;(NA)
" ""13000""";Georgia;Taxes on production and imports (TOPI) less subsides (millions of dollars);35942.1;(NA)
" ""13000""";Georgia; Taxes on production and imports (TOPI) (millions of dollars);37660.9;(NA)
" ""13000""";Georgia; Subsidies (millions of dollars);-1718.8;(NA)
" ""15000""";Hawaii;Real GDP (millions of chained 2012 dollars)  ;82471.4;75862.7
" ""15000""";Hawaii;Chain-type quantity indexes for real GDP;111.937;102.967
" ""15000""";Hawaii;Current-dollar GDP (millions of current dollars);95744.3;89856.2
" ""15000""";Hawaii;Compensation (millions of dollars);50768.8;(NA)
" ""15000""";Hawaii;Gross operating surplus (millions of dollars);36290.3;(NA)
" ""15000""";Hawaii;Taxes on production and imports (TOPI) less subsides (millions of dollars);8685.3;(NA)
" ""15000""";Hawaii; Taxes on production and imports (TOPI) (millions of dollars);8948.3;(NA)
" ""15000""";Hawaii; Subsidies (millions of dollars);-263;(NA)
" ""16000""";Idaho;Real GDP (millions of chained 2012 dollars)  ;74937.1;74080.6
" ""16000""";Idaho;Chain-type quantity indexes for real GDP;129.694;128.211
" ""16000""";Idaho;Current-dollar GDP (millions of current dollars);83665.5;84032.2
" ""16000""";Idaho;Compensation (millions of dollars);44472.5;(NA)
" ""16000""";Idaho;Gross operating surplus (millions of dollars);34315.1;(NA)
" ""16000""";Idaho;Taxes on production and imports (TOPI) less subsides (millions of dollars);4877.8;(NA)
" ""16000""";Idaho; Taxes on production and imports (TOPI) (millions of dollars);5215.7;(NA)
" ""16000""";Idaho; Subsidies (millions of dollars);-337.9;(NA)
" ""17000""";Illinois;Real GDP (millions of chained 2012 dollars)  ;773135.5;742278.3
" ""17000""";Illinois;Chain-type quantity indexes for real GDP;107.249;102.968
" ""17000""";Illinois;Current-dollar GDP (millions of current dollars);885583;863516.7
" ""17000""";Illinois;Compensation (millions of dollars);485215.1;(NA)
" ""17000""";Illinois;Gross operating surplus (millions of dollars);333116;(NA)
" ""17000""";Illinois;Taxes on production and imports (TOPI) less subsides (millions of dollars);67251.9;(NA)
" ""17000""";Illinois; Taxes on production and imports (TOPI) (millions of dollars);71394.5;(NA)
" ""17000""";Illinois; Subsidies (millions of dollars);-4142.6;(NA)
" ""18000""";Indiana;Real GDP (millions of chained 2012 dollars)  ;337636.1;327337.2
" ""18000""";Indiana;Chain-type quantity indexes for real GDP;113.371;109.913
" ""18000""";Indiana;Current-dollar GDP (millions of current dollars);379684.1;372636.7
" ""18000""";Indiana;Compensation (millions of dollars);198976;(NA)
" ""18000""";Indiana;Gross operating surplus (millions of dollars);159789.5;(NA)
" ""18000""";Indiana;Taxes on production and imports (TOPI) less subsides (millions of dollars);20918.6;(NA)
" ""18000""";Indiana; Taxes on production and imports (TOPI) (millions of dollars);22460.9;(NA)
" ""18000""";Indiana; Subsidies (millions of dollars);-1542.2;(NA)
" ""19000""";Iowa;Real GDP (millions of chained 2012 dollars)  ;173515.4;169529.9
" ""19000""";Iowa;Chain-type quantity indexes for real GDP;109.932;107.407
" ""19000""";Iowa;Current-dollar GDP (millions of current dollars);194658.1;192710.2
" ""19000""";Iowa;Compensation (millions of dollars);98629.9;(NA)
" ""19000""";Iowa;Gross operating surplus (millions of dollars);85508;(NA)
" ""19000""";Iowa;Taxes on production and imports (TOPI) less subsides (millions of dollars);10520.2;(NA)
" ""19000""";Iowa; Taxes on production and imports (TOPI) (millions of dollars);13086.4;(NA)
" ""19000""";Iowa; Subsidies (millions of dollars);-2566.2;(NA)
" ""20000""";Kansas;Real GDP (millions of chained 2012 dollars)  ;160059.3;155307.8
" ""20000""";Kansas;Chain-type quantity indexes for real GDP;113.707;110.332
" ""20000""";Kansas;Current-dollar GDP (millions of current dollars);176493.1;173298.3
